[#I]Device Description,,,
Rotronic,,,
,,,
[#S]Device Information,,,
Version = V4.1-0,,,
Serial Number = A22110935,,,
File Name = HT1.1.XLS,,,
Log Interval = 00:01:00,,,
,,,
[#1],,,
Humidity = %rh,,,
Low Alarm Threshold = 20,,,
High Alarm Threshold = 80,,,
,,,
[#2],,,
Temperature = °C,,,
Low Alarm Threshold = 10,,,
High Alarm Threshold = 70,,,
,,,
[#H],,,
Date,Time,Humidity,Temperature
,,,
[#D],,,
7/2/2023,10:30:30 AM,42.1,29.9
7/2/2023,10:31:30 AM,42.1,29.9
7/2/2023,10:32:30 AM,42.2,29.9
7/2/2023,10:33:30 AM,42.1,29.9
7/2/2023,10:34:30 AM,42.1,29.9
7/2/2023,10:35:30 AM,42.1,29.9
7/2/2023,10:36:30 AM,42.1,29.9
7/2/2023,10:37:30 AM,42.1,29.9
7/2/2023,10:38:30 AM,42.1,29.9
7/2/2023,10:39:30 AM,42.1,29.9
7/2/2023,10:40:30 AM,42.1,29.9
7/2/2023,10:41:30 AM,42,29.9
7/2/2023,10:42:30 AM,42,29.9
7/2/2023,10:43:30 AM,42,29.9
7/2/2023,10:44:30 AM,42.1,29.9
7/2/2023,10:45:30 AM,42.1,29.9
7/2/2023,10:46:30 AM,42.1,29.9
7/2/2023,10:47:30 AM,42,29.9
7/2/2023,10:48:30 AM,42.1,29.9
7/2/2023,10:49:30 AM,42.1,29.9
7/2/2023,10:50:30 AM,42.1,29.9
7/2/2023,10:51:30 AM,42.2,29.9
7/2/2023,10:52:30 AM,42.1,29.9
7/2/2023,10:53:30 AM,42.1,29.9
7/2/2023,10:54:30 AM,42.1,29.9
7/2/2023,10:55:30 AM,42.1,29.9
7/2/2023,10:56:30 AM,42.1,29.9
7/2/2023,10:57:30 AM,42.1,29.9
7/2/2023,10:58:30 AM,42.1,29.9
7/2/2023,10:59:30 AM,42.1,29.9
7/2/2023,11:00:30 AM,42.1,29.9
7/2/2023,11:01:30 AM,42,29.9
7/2/2023,11:02:30 AM,42,29.9
7/2/2023,11:03:30 AM,42.1,29.9
7/2/2023,11:04:30 AM,42.1,29.9
7/2/2023,11:05:30 AM,42.1,29.9
7/2/2023,11:06:30 AM,42,29.9
7/2/2023,11:07:30 AM,42.1,29.9
7/2/2023,11:08:30 AM,42.1,29.9
7/2/2023,11:09:30 AM,42.1,29.9
7/2/2023,11:10:30 AM,42,29.9
7/2/2023,11:11:30 AM,42.1,29.9
7/2/2023,11:12:30 AM,42,29.9
7/2/2023,11:13:30 AM,42.1,29.9
7/2/2023,11:14:30 AM,42.1,29.9
7/2/2023,11:15:30 AM,42,29.9
7/2/2023,11:16:30 AM,42,29.9
7/2/2023,11:17:30 AM,42,29.9
7/2/2023,11:18:30 AM,42,29.9
7/2/2023,11:19:30 AM,42,29.9
7/2/2023,11:20:30 AM,42.1,29.9
7/2/2023,11:21:30 AM,42.1,29.9
7/2/2023,11:22:30 AM,42.1,29.9
7/2/2023,11:23:30 AM,42.1,29.9
7/2/2023,11:24:30 AM,42,29.9
7/2/2023,11:25:30 AM,42.1,29.9
